16;-50;81;-72;-73;-77;-20;69;33;-12;-37;-60;92;-71;99
-3;-65;-10;85;-32;67;42;-67;-79;-75;-87;50;9;81;85
14;45;7;-45;-85;-29;-39;96;-91;10;-14;79;-30;-86;87
22;85;47;-54;-96;30;-84;-66;-55;68;82;76;70;-13;79
26;-28;61;-97;-48;91;-12;-8;-54;-18;-32;-35;52;52;-7
36;-82;12;-14;-25;-15;91;62;70;-27;-50;-97;-77;-80;60
-19;42;20;42;44;-48;-74;80;-32;4;61;-13;14;-61;46
63;22;-66;-84;1;-44;46;-95;64;20;-25;35;48;-58;-6
40;-22;-85;-62;14;24;73;65;-23;68;8;-30;-39;-1;87
-8;-41;-70;32;28;-1;32;-54;-99;89;74;7;26;33;15
-18;-60;-23;-12;-27;2;-13;72;-54;-16;-30;45;49;-96;52
-90;-78;-80;-53;-65;-67;81;53;4;-2;-84;-61;7;15;85
-36;-73;-73;-52;67;7;45;9;-29;-11;91;-48;21;41;-3
-48;-96;9;-9;-28;-69;-23;-56;-86;-35;98;-18;-52;-7;-6
59;-5;-18;-37;63;-69;-30;31;-41;-72;-10;-8;-90;79;13
